"source","pic_name","detect.width","detect.length","detect.area","detect.cx","detect.cy","detect.class","confidence","truth.cx","truth.cy","truth.class","truth.width","truth.length","truth.angle","truth.area","surface_tp"
"240pictures.csv","T32L75_W3_A4_R5_P266_g97_4",51.3618441939567,61.8278436629451,3175.5920730645,790.263216,125.4199788,"complete",0.59014,792.9184,124.2857,"complete",77.6,33.6,0,2607.36,"abaxial"
"240pictures.csv","T32L75_W3_A4_R5_P266_g97_4",52.3851828813642,58.3603645184671,3057.21836832298,1945.91808,1816.204356,"complete",0.564783,1950.9184,1818.7857,"complete",78.4,32.4,0,2540.16,"abaxial"
"240pictures.csv","T32L75_W3_A4_R5_P266_g97_4",50.1932824714704,57.0840060062198,2865.23363807331,1059.53832,942.16932,"complete",0.528915,1063.4184,943.2857,"complete",73.2,36,0,2635.2,"abaxial"
"240pictures.csv","T32L75_W3_A4_R5_P266_g97_4",48.3017903022939,58.3742037114411,2819.57854673341,319.1907384,942.260202,"blurry.complete",0.51112,316.4184,943.2857,"complete",76.4,32.8,3.116576,2505.92,"abaxial"
"240pictures.csv","T32L75_W3_A4_R5_P266_g97_4",46.0777176605499,57.7891115624555,2662.79036642885,2380.705992,1465.080534,"blurry.complete",0.50374,2380.9184,1464.7857,"complete",74.4,31.6,0.035867,2351.04,"abaxial"
"240pictures.csv","T32L75_W3_A4_R5_P266_g97_4",56.0578849921714,58.6448657170275,3287.50713774646,490.021488,658.245204,"complete",0.956795,490.9184,657.2857,"complete",74.4,39.2,0.025322,2916.48,"abaxial"
"240pictures.csv","T32L75_W3_A4_R5_P266_g97_4",52.6057322864514,56.0622293657577,2949.19462939668,2008.314,124.79508,"blurry.complete",0.915287,2005.4184,123.2857,"blurry.complete",69.2,36,0,2491.2,"abaxial"
"240pictures.csv","T32L75_W3_A4_R5_P266_g97_4",54.2920462952259,57.2866182375817,3110.20772945171,1091.09592,663.152346,"complete",0.914379,1089.9184,662.2857,"complete",73.6,39.2,0,2885.12,"abaxial"
"240pictures.csv","T32L75_W3_A4_R5_P266_g97_4",49.8276790672962,59.1423297217526,2946.9250246677,1254.516336,1812.664332,"blurry.complete",0.907506,1256.9184,1810.7857,"blurry.complete",80,35.6,0,2848,"abaxial"
"240pictures.csv","T32L75_W3_A4_R5_P266_g97_4",46.3305608093432,54.1237183148827,2507.58222261543,524.578032,1808.858952,"blurry.complete",0.891116,526.9184,1808.7857,"blurry.complete",75.2,32.4,0,2436.48,"abaxial"
"240pictures.csv","T32L75_W3_A4_R5_P266_g97_4",48.749460621592,51.3579064974631,2503.67024040548,2411.587728,664.856748,"blurry.complete",0.884931,2417.4184,664.7857,"blurry.complete",66,36.4,0,2402.4,"abaxial"
"240pictures.csv","T32L75_W3_A4_R5_P266_g97_4",52.9241447110174,59.3217815438528,3139.55455094222,1387.693296,127.50939,"blurry.complete",0.867348,1387.9184,126.2857,"complete",78.4,35.2,0,2759.68,"abaxial"
"240pictures.csv","T32L75_W3_A4_R5_P266_g97_4",51.823588279595,57.0678334743511,2957.45990598326,1723.477824,1453.750416,"complete",0.847098,1729.9184,1455.2857,"complete",72.8,36,0,2620.8,"abaxial"
"240pictures.csv","T32L75_W3_A4_R5_P266_g97_4",52.2405198865741,58.921435849339,3078.08644123289,1547.799192,651.14037,"complete",0.845557,1552.9184,650.2857,"complete",76.8,36.8,0,2826.24,"abaxial"
"240pictures.csv","T32L75_W3_A4_R5_P266_g97_4",48.1401163543353,27.781988477942,1337.42815788293,48.823717464,1810.769904,"blurry.complete",0.797453,46.9592,1811.8265,"blurry.incomplete",37.56736,33.23264,0,1248.4625506304,"abaxial"
"240pictures.csv","T32L75_W3_A4_R5_P266_g97_4",46.99925217129,56.5870000779783,2659.54668628171,1641.184416,931.002984,"complete",0.760411,1644.9184,929.2857,"complete",73.6,32.8,0,2414.08,"abaxial"
