"plot_id","Weight","Ear_numb","date","var","rep","nitrogen","appl","timeid"
"1",9.57,10,"20210628","Apertus",1,220,"Split","Early"
"1",20.86,10,"20210715","Apertus",1,220,"Split","Early"
"1",6.33,10,"20210621","Apertus",1,220,"Split","Early"
"1",4.42,10,"20210614","Apertus",1,220,"Split","Early"
"1",15.12,10,"20210712","Apertus",1,220,"Split","Early"
"1",5.07,10,"20210617","Apertus",1,220,"Split","Early"
"1",7.02,9,"20210624","Apertus",1,220,"Split","Early"
"1",21.6,10,"20210719","Apertus",1,220,"Split","Early"
"1",12.22,10,"20210705","Apertus",1,220,"Split","Early"
"1",19.54,10,"20210708","Apertus",1,220,"Split","Early"
"1",12.27,10,"20210701","Apertus",1,220,"Split","Early"
"10",19.67,10,"20210719","Torrild",1,220,"Split","Late"
"10",13.39,10,"20210705","Torrild",1,220,"Split","Late"
"10",19.28,10,"20210708","Torrild",1,220,"Split","Late"
"10",5.57,10,"20210621","Torrild",1,220,"Split","Late"
"10",4.09,10,"20210614","Torrild",1,220,"Split","Late"
"10",5.02,10,"20210617","Torrild",1,220,"Split","Late"
"10",22.67,10,"20210715","Torrild",1,220,"Split","Late"
"10",12.23,10,"20210701","Torrild",1,220,"Split","Late"
"10",20.55,10,"20210712","Torrild",1,220,"Split","Late"
"10",7.2,10,"20210624","Torrild",1,220,"Split","Late"
"10",9.95,10,"20210628","Torrild",1,220,"Split","Late"
"100",12.63,10,"20210701","Patras",2,220,"Split","Late"
"100",17.9,10,"20210708","Patras",2,220,"Split","Late"
"100",25,10,"20210715","Patras",2,220,"Split","Late"
"100",17.57,10,"20210705","Patras",2,220,"Split","Late"
"100",4.35,10,"20210617","Patras",2,220,"Split","Late"
"100",6.27,10,"20210621","Patras",2,220,"Split","Late"
"100",10.34,10,"20210628","Patras",2,220,"Split","Late"
"100",4.56,10,"20210614","Patras",2,220,"Split","Late"
"100",23.9,10,"20210712","Patras",2,220,"Split","Late"
"100",10.23,10,"20210624","Patras",2,220,"Split","Late"
"100",26.54,10,"20210719","Patras",2,220,"Split","Late"
"101",16.26,10,"20210708","Apertus",2,220,"Split","Late"
"101",5.54,10,"20210621","Apertus",2,220,"Split","Late"
"101",15.58,10,"20210705","Apertus",2,220,"Split","Late"
"101",23.81,10,"20210719","Apertus",2,220,"Split","Late"
"101",7.17,10,"20210624","Apertus",2,220,"Split","Late"
"101",22,10,"20210715","Apertus",2,220,"Split","Late"
"101",4.65,10,"20210617","Apertus",2,220,"Split","Late"
"101",10.23,10,"20210628","Apertus",2,220,"Split","Late"
"101",3.99,10,"20210614","Apertus",2,220,"Split","Late"
"101",19.5,10,"20210712","Apertus",2,220,"Split","Late"
"101",11.76,10,"20210701","Apertus",2,220,"Split","Late"
"102",25.58,10,"20210719","Patras",2,220,"Split","Early"
"102",13.1,10,"20210628","Patras",2,220,"Split","Early"
"102",20.4,10,"20210708","Patras",2,220,"Split","Early"
"102",6.46,10,"20210621","Patras",2,220,"Split","Early"
"102",5.42,10,"20210617","Patras",2,220,"Split","Early"
"102",13.94,10,"20210701","Patras",2,220,"Split","Early"
"102",22.93,10,"20210715","Patras",2,220,"Split","Early"
"102",9.8,10,"20210624","Patras",2,220,"Split","Early"
"102",23.24,10,"20210712","Patras",2,220,"Split","Early"
"102",4.13,10,"20210614","Patras",2,220,"Split","Early"
"102",16.9,10,"20210705","Patras",2,220,"Split","Early"
"103",23.41,10,"20210719","Torrild",2,220,"Combined","Early"
"103",24.27,10,"20210715","Torrild",2,220,"Combined","Early"
"103",12.17,10,"20210628","Torrild",2,220,"Combined","Early"
"103",15.31,10,"20210701","Torrild",2,220,"Combined","Early"
"103",4.87,10,"20210617","Torrild",2,220,"Combined","Early"
