"date","var","nitrogen","appl","timeid","weight","TT","BBCH","group"
2021-06-14,"Alves",176,"Combined","Early",0.476666666666667,1679.35416666667,63.7731269089212,"Alves.Combined.Early.176"
2021-06-14,"Alves",176,"Combined","Early",0.476666666666667,1679.35416666667,63.7731269089212,"Alves.Combined.Early.176"
2021-06-14,"Alves",176,"Combined","Early",0.476666666666667,1679.35416666667,63.7731269089212,"Alves.Combined.Early.176"
2021-06-14,"Alves",176,"Combined","Late",0.481666666666667,1506.49583333333,62.7218067451902,"Alves.Combined.Late.176"
2021-06-14,"Alves",176,"Combined","Late",0.481666666666667,1506.49583333333,62.7218067451902,"Alves.Combined.Late.176"
2021-06-14,"Alves",176,"Combined","Late",0.481666666666667,1506.49583333333,62.7218067451902,"Alves.Combined.Late.176"
2021-06-14,"Alves",176,"Split","Early",0.450666666666667,1679.35416666667,63.7731269089212,"Alves.Split.Early.176"
2021-06-14,"Alves",176,"Split","Early",0.450666666666667,1679.35416666667,63.7731269089212,"Alves.Split.Early.176"
2021-06-14,"Alves",176,"Split","Early",0.450666666666667,1679.35416666667,63.7731269089212,"Alves.Split.Early.176"
2021-06-14,"Alves",176,"Split","Late",0.450333333333333,1506.49583333333,62.7218067451902,"Alves.Split.Late.176"
2021-06-14,"Alves",176,"Split","Late",0.450333333333333,1506.49583333333,62.7218067451902,"Alves.Split.Late.176"
2021-06-14,"Alves",176,"Split","Late",0.450333333333333,1506.49583333333,62.7218067451902,"Alves.Split.Late.176"
2021-06-14,"Alves",220,"Combined","Early",0.454,1679.35416666667,63.7731269089212,"Alves.Combined.Early.220"
2021-06-14,"Alves",220,"Combined","Early",0.454,1679.35416666667,63.7731269089212,"Alves.Combined.Early.220"
2021-06-14,"Alves",220,"Combined","Early",0.454,1679.35416666667,63.7731269089212,"Alves.Combined.Early.220"
2021-06-14,"Alves",220,"Combined","Late",0.469,1506.49583333333,62.7218067451902,"Alves.Combined.Late.220"
2021-06-14,"Alves",220,"Combined","Late",0.469,1506.49583333333,62.7218067451902,"Alves.Combined.Late.220"
2021-06-14,"Alves",220,"Combined","Late",0.469,1506.49583333333,62.7218067451902,"Alves.Combined.Late.220"
2021-06-14,"Alves",220,"Split","Early",0.435,1679.35416666667,63.7731269089212,"Alves.Split.Early.220"
2021-06-14,"Alves",220,"Split","Early",0.435,1679.35416666667,63.7731269089212,"Alves.Split.Early.220"
2021-06-14,"Alves",220,"Split","Early",0.435,1679.35416666667,63.7731269089212,"Alves.Split.Early.220"
2021-06-14,"Alves",220,"Split","Late",0.482333333333333,1506.49583333333,62.7218067451902,"Alves.Split.Late.220"
2021-06-14,"Alves",220,"Split","Late",0.482333333333333,1506.49583333333,62.7218067451902,"Alves.Split.Late.220"
2021-06-14,"Alves",220,"Split","Late",0.482333333333333,1506.49583333333,62.7218067451902,"Alves.Split.Late.220"
2021-06-14,"Apertus",176,"Combined","Early",0.433333333333333,1679.35416666667,62.3610238998931,"Apertus.Combined.Early.176"
2021-06-14,"Apertus",176,"Combined","Early",0.433333333333333,1679.35416666667,62.3610238998931,"Apertus.Combined.Early.176"
2021-06-14,"Apertus",176,"Combined","Early",0.433333333333333,1679.35416666667,62.3610238998931,"Apertus.Combined.Early.176"
2021-06-14,"Apertus",176,"Combined","Late",0.432333333333333,1506.49583333333,61.9869841157961,"Apertus.Combined.Late.176"
2021-06-14,"Apertus",176,"Combined","Late",0.432333333333333,1506.49583333333,61.9869841157961,"Apertus.Combined.Late.176"
2021-06-14,"Apertus",176,"Combined","Late",0.432333333333333,1506.49583333333,61.9869841157961,"Apertus.Combined.Late.176"
2021-06-14,"Apertus",176,"Split","Early",0.446,1679.35416666667,62.3610238998931,"Apertus.Split.Early.176"
2021-06-14,"Apertus",176,"Split","Early",0.446,1679.35416666667,62.3610238998931,"Apertus.Split.Early.176"
2021-06-14,"Apertus",176,"Split","Early",0.446,1679.35416666667,62.3610238998931,"Apertus.Split.Early.176"
2021-06-14,"Apertus",176,"Split","Late",0.457,1506.49583333333,61.9869841157961,"Apertus.Split.Late.176"
2021-06-14,"Apertus",176,"Split","Late",0.457,1506.49583333333,61.9869841157961,"Apertus.Split.Late.176"
2021-06-14,"Apertus",176,"Split","Late",0.457,1506.49583333333,61.9869841157961,"Apertus.Split.Late.176"
2021-06-14,"Apertus",220,"Combined","Early",0.422,1679.35416666667,62.3610238998931,"Apertus.Combined.Early.220"
2021-06-14,"Apertus",220,"Combined","Early",0.422,1679.35416666667,62.3610238998931,"Apertus.Combined.Early.220"
2021-06-14,"Apertus",220,"Combined","Early",0.422,1679.35416666667,62.3610238998931,"Apertus.Combined.Early.220"
2021-06-14,"Apertus",220,"Combined","Late",0.429666666666667,1506.49583333333,61.9869841157961,"Apertus.Combined.Late.220"
2021-06-14,"Apertus",220,"Combined","Late",0.429666666666667,1506.49583333333,61.9869841157961,"Apertus.Combined.Late.220"
2021-06-14,"Apertus",220,"Combined","Late",0.429666666666667,1506.49583333333,61.9869841157961,"Apertus.Combined.Late.220"
2021-06-14,"Apertus",220,"Split","Early",0.412666666666667,1679.35416666667,62.3610238998931,"Apertus.Split.Early.220"
2021-06-14,"Apertus",220,"Split","Early",0.412666666666667,1679.35416666667,62.3610238998931,"Apertus.Split.Early.220"
2021-06-14,"Apertus",220,"Split","Early",0.412666666666667,1679.35416666667,62.3610238998931,"Apertus.Split.Early.220"
2021-06-14,"Apertus",220,"Split","Late",0.421333333333333,1506.49583333333,61.9869841157961,"Apertus.Split.Late.220"
2021-06-14,"Apertus",220,"Split","Late",0.421333333333333,1506.49583333333,61.9869841157961,"Apertus.Split.Late.220"
